DBMS,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,k2.table_schema,k2.table_name,k2.column_name
postgresql,PRODDB,PUBLIC,FACT_ADS_ATTRIBUTIONS,CREATED_AT,6,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ATTRIBUTIONS,IS_SELF_SERVE,10,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ATTRIBUTIONS,ACTIVE_DATE,7,DATE,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ATTRIBUTIONS,BUSINESS_ID,5,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ATTRIBUTIONS,CONSUMER_DISCOUNT,19,FLOAT,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ATTRIBUTIONS,DELIVERY_ID,1,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ATTRIBUTIONS,ATTRIBUTION_SOURCE,25,TEXT,35.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ATTRIBUTIONS,INVOICE_ID,24,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ATTRIBUTIONS,TRIAL_CREDIT_REDEEMED,16,FLOAT,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ATTRIBUTIONS,FEE_INCLUDING_TRIALS,17,FLOAT,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ATTRIBUTIONS,PAYMENT_METHOD,23,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ATTRIBUTIONS,CURRENCY,18,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ATTRIBUTIONS,NET_REVENUE,20,FLOAT,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ATTRIBUTIONS,TEMPLATE_ID,9,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ATTRIBUTIONS,ATTRIBUTION_METHOD,13,TEXT,20.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ATTRIBUTIONS,PRODUCT_TYPE,11,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ATTRIBUTIONS,ADVERTISER_TYPE,22,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ATTRIBUTIONS,CAMPAIGN_ID,8,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ATTRIBUTIONS,ITEM_ID,2,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ATTRIBUTIONS,NET_REVENUE_ADJ,21,FLOAT,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ATTRIBUTIONS,ORDER_CART_ID,3,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ATTRIBUTIONS,FEE_ALLOC,15,FLOAT,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ATTRIBUTIONS,SUB_PRODUCT_TYPE,12,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ATTRIBUTIONS,FEE,14,FLOAT,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ATTRIBUTIONS,HAS_AP_REVENUE,26,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ATTRIBUTIONS,STORE_ID,4,NUMBER,,,,,
