DBMS,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,k2.table_schema,k2.table_name,k2.column_name
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,ADVERTISER_ENTITY_ID,44,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,CAMPAIGN_NAME,2,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,CAMPAIGN_UPDATED_BY_ID,11,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,VERTICAL,35,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,BUSINESS_CAMPAIGN,34,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,CAMPAIGN_NOTES,4,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,CPG_SALESFORCE_OPPORTUNITY,42,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,IS_INVOICED,19,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,TOTAL_PLACEMENT_FEE_CURRENCY,30,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,PERCENTAGE_FEE,15,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,MONTHLY_CAMPAIGN_BUDGET,26,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,PERCENTAGE_BASED_FEE_MAX,16,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,CAMPAIGN_CREATED_BY_EMAIL,9,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,FLAT_FEE,13,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,WEEKLY_CAMPAIGN_BUDGET,25,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,TEMPLATE_NAME,6,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,TOTAL_PLACEMENT_FEE_SFDC_OPP_LI_ID,31,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,DAILY_CAMPAIGN_BUDGET,24,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,OBJECTIVE,39,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,TOTAL_PLACEMENT_FEE,29,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,TOTAL_CAMPAIGN_BUDGET,27,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,TOTAL_CAMPAIGN_BUDGET_CURRENCY,28,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,SALESFORCE_OPPORTUNITY_LINE_ITEM_ID,23,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,HAS_PROMO,46,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,CAMPAIGN_DESCRIPTION,3,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,CAMPAIGN_ID,1,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,CREATED_BY_SOURCE,37,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,DIRECTLY_RESPONSIBLE_INDIVIDUAL,33,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,NETSUITE_ENTITY_ID,21,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,SALESFORCE_OPPORTUNITY,22,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,UPDATED_BY_SOURCE,38,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,IS_CPA_INVOICED,20,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,CPM_BILLING_ADDRESS_ID,43,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,CURRENCY,14,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,FUNDING_SOURCE,17,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,CAMPAIGN_UPDATED_AT,10,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,CAMPAIGN_UPDATED_BY_EMAIL,12,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,CPA_SFDC_OPP_LI_ID,32,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,FREE_TRIAL_CREDIT_AMOUNT,40,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,LAST_EFFECTIVE_TS,48,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,ATTRIBUTION_CHANNEL,36,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,CAMPAIGN_CREATED_AT,7,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,CAMPAIGN_CREATED_BY_ID,8,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,HAS_AD,45,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,CPG_NETSUITE_ENTITY_ID,41,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,OVERRIDES,18,ARRAY,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,UPDATE_AT,47,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN,TEMPLATE_ID,5,TEXT,16777216.0,,,,
