,DBMS,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,k2.table_schema,k2.table_name,k2.column_name
0,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,ATTRIBUTION_CHANNEL,43,TEXT,16777216,,,,
1,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,CREATED_AT,47,TIMESTAMP_NTZ,,,,,
2,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,CREATED_BY_STAFF,44,BOOLEAN,,,,,
3,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,DATA_SOURCE,55,TEXT,16777216,,,,
4,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,PROMO_DESCRIPTION,26,TEXT,16777216,,,,
5,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,TOTAL_PLACEMENT_FEE_SFDC_OPP_LI_ID,39,TEXT,16777216,,,,
6,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,ACTIVE_END,57,TIMESTAMP_NTZ,,,,,
7,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,PROMO_MAX_NUMBER_CLAIMS,29,NUMBER,,,,,
8,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,UPDATED_BY_SOURCE,50,TEXT,16777216,,,,
9,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,CAMPAIGN_END_TIME,20,TIMESTAMP_NTZ,,,,,
10,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,CREATED_BY_SOURCE,49,TEXT,16777216,,,,
11,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,SHOW_AS_CAROUSEL,22,BOOLEAN,,,,,
12,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,DEACTIVATED_BY_USER_ID,52,NUMBER,,,,,
13,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,PERCENTAGE_FEE,10,NUMBER,,,,,
14,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,IS_MERCHANT_FUNDED,14,BOOLEAN,,,,,
15,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,DEACTIVATED_AT,51,TIMESTAMP_NTZ,,,,,
16,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,NETSUITE_ENTITY_ID,35,TEXT,16777216,,,,
17,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,PERCENTAGE_BASED_FEE_MAX,11,NUMBER,,,,,
18,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,PROMO_CLAIM_DURATION,28,NUMBER,,,,,
19,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,ACTIVE_START,56,TIMESTAMP_NTZ,,,,,
20,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,BUSINESS_CAMPAIGN,41,TEXT,16777216,,,,
21,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,CAMPAIGN_CREATED_BY_EMAIL,7,TEXT,16777216,,,,
22,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,CAMPAIGN_CREATED_BY_ID,6,NUMBER,,,,,
23,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,DIRECTLY_RESPONSIBLE_INDIVIDUAL,40,TEXT,16777216,,,,
24,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,IS_APPLY_BY_AUTO,33,BOOLEAN,,,,,
