DBMS,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,k2.table_schema,k2.table_name,k2.column_name
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,CREATED_BY_SOURCE,49,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,MAX_REDEMPTION_COUNT,21,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,OVERRIDES,13,ARRAY,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,SORT_ORDER,23,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,TEMPLATE_NAME,5,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,PROMO_CLAIM_DURATION,28,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,TOTAL_CAMPAIGN_BUDGET,66,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,IS_ACTIVE,18,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,VERTICAL,42,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,CAMPAIGN_DESCRIPTION,3,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,CAMPAIGN_START_TIME,19,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,DEACTIVATED_BY_USER_ID,52,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,IS_ACTIVE_ROW,59,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,IS_APPLY_BY_AUTO,33,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,FUNDING_SOURCE,12,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,SALESFORCE_OPPORTUNITY_LINE_ITEM_ID,37,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,STORE_PROMOTION_MEMBERSHIP_ID,46,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,ORIGINAL_MEMBERSHIP_TYPE,60,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,FLAT_FEE,8,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,DAILY_CAMPAIGN_BUDGET,63,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,DATA_SOURCE,55,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,PROMO_CODE_DURATION,27,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,SHOW_AS_CAROUSEL,22,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,TEMPLATE_ID,4,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,DIRECTLY_RESPONSIBLE_INDIVIDUAL,40,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,MONTHLY_CAMPAIGN_BUDGET,65,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,PROMO_TITLE,25,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,NETSUITE_ENTITY_ID,35,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,CURRENCY,9,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,CAMPAIGN_ID,1,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,PROMOTION_ID,24,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,TOTAL_PLACEMENT_FEE_SFDC_OPP_LI_ID,39,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,TOTAL_PLACEMENT_FEE,38,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION_HISTORY,IS_INVOICED,34,BOOLEAN,,,,,
