DBMS,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,k2.table_schema,k2.table_name,k2.column_name
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,APP_VERSION,10,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,DD_SESSION_ID,7,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,CONTAINER_NAME,33,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,SEARCH_TERM,12,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,DISTRICT_ID,16,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,AD_AUCTION_ID,31,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,CUISINE_TERM,14,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,OFFER_BADGE,18,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,DEAL_ID,28,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,RECEIVED_AT,1,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,SEARCH_TERM_CLEAN,13,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,IS_SPONSORED,23,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,SPONSORED_BADGE,17,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,VERTICAL_NAME,27,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,ADDRESS_ID,24,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,AD_GROUP_ID,30,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,CONSUMER_ID,8,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,PAGE,25,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,CAMPAIGN_ID,29,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,CARD_POSITION,15,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,DD_DEVICE_ID,6,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,EVENT_TIMESTAMP,4,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,FEATURE,19,TEXT,50.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,FEATURE_GROUP,20,TEXT,19.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,ID,22,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,VERTICAL_ID,26,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,DELIVERY_FEE,34,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,PRODUCT_NAME,21,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,ETA,35,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,EVENT_DATE,2,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,EVENT_DATE_AS_PST,3,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,PLATFORM,9,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,STORE_ID,11,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CX_CARD_CLICK,SUBMARKET_ID,5,NUMBER,,,,,
