,DBMS,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,k2.table_schema,k2.table_name,k2.column_name
0,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,AD_AUCTION_ID,31,TEXT,16777216,,,,
1,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,DD_DEVICE_ID,6,TEXT,16777216,,,,
2,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,EVENT_DATE_AS_PST,3,TIMESTAMP_NTZ,,,,,
3,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,FEATURE_GROUP,20,TEXT,19,,,,
4,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,IS_SPONSORED,23,NUMBER,,,,,
5,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,CAMPAIGN_ID,29,TEXT,16777216,,,,
6,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,VERTICAL_ID,26,TEXT,16777216,,,,
7,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,EVENT_TIMESTAMP,4,TIMESTAMP_NTZ,,,,,
8,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,ADDRESS_ID,24,NUMBER,,,,,
9,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,AD_GROUP_ID,30,TEXT,16777216,,,,
10,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,DD_SESSION_ID,7,TEXT,16777216,,,,
11,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,DEAL_ID,28,TEXT,16777216,,,,
12,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,PAGE,25,TEXT,16777216,,,,
13,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,CARD_POSITION,15,NUMBER,,,,,
14,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,ID,22,TEXT,16777216,,,,
15,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,VERTICAL_POSITION,33,NUMBER,,,,,
16,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,CUISINE_TERM,14,TEXT,16777216,,,,
17,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,ETA,35,TEXT,16777216,,,,
18,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,PLATFORM,9,TEXT,16777216,,,,
19,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,SPONSORED_BADGE,17,TEXT,16777216,,,,
20,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,VERTICAL_NAME,27,TEXT,16777216,,,,
21,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,APP_VERSION,10,TEXT,16777216,,,,
22,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,CONSUMER_ID,8,NUMBER,,,,,
23,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,RECEIVED_AT,1,TIMESTAMP_NTZ,,,,,
24,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,SEARCH_TERM,12,TEXT,16777216,,,,
25,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,STORE_ID,11,NUMBER,,,,,
26,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,DELIVERY_FEE,34,NUMBER,,,,,
27,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,DISTRICT_ID,16,NUMBER,,,,,
28,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,EVENT_DATE,2,TIMESTAMP_NTZ,,,,,
29,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,FEATURE,19,TEXT,50,,,,
30,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,PRODUCT_NAME,21,TEXT,16777216,,,,
31,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,SEARCH_TERM_CLEAN,13,TEXT,16777216,,,,
32,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,SUBMARKET_ID,5,NUMBER,,,,,
33,postgresql,PRODDB,PUBLIC,FACT_CX_CARD_VIEW,OFFER_BADGE,18,TEXT,16777216,,,,
